"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2012","00","00000","United States","306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703","15.9","15.8","16.0","15.8 to 16.0","72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858","22.6","22.4","22.8","22.4 to 22.8","52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671","21.0","20.8","21.2","20.8 to 21.2","19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248","25.6","25.4","25.8","25.4 to 25.8","$51,371","$51,318","$51,424","$51,318 to $51,424"
"2011","00","00000","United States","303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201","15.9","15.8","16.0","15.8 to 16.0","72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753","22.5","22.3","22.7","22.3 to 22.7","52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299","20.8","20.6","21.0","20.6 to 21.0","19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817","25.8","25.6","26.0","25.6 to 26.0","$50,502","$50,429","$50,575","$50,429 to $50,575"
"2010","00","00000","United States","301,535,021","46,215,956","45,975,650","46,456,262","45,975,650 to 46,456,262","15.3","15.2","15.4","15.2 to 15.4","73,024,577","15,749,129","15,621,395","15,876,863","15,621,395 to 15,876,863","21.6","21.4","21.8","21.4 to 21.8","52,872,735","10,484,513","10,394,015","10,575,011","10,394,015 to 10,575,011","19.8","19.6","20.0","19.6 to 20.0","19,822,633","4,961,524","4,910,772","5,012,276","4,910,772 to 5,012,276","25.0","24.8","25.2","24.8 to 25.2","$50,046","$49,982","$50,110","$49,982 to $50,110"
"2009","00","00000","United States","299,026,555","42,868,163","42,631,574","43,104,752","42,631,574 to 43,104,752","14.3","14.3","14.4","14.3 to 14.4","73,347,404","14,656,962","14,526,159","14,787,765","14,526,159 to 14,787,765","20.0","19.8","20.2","19.8 to 20.2","52,143,306","9,509,142","9,419,830","9,598,454","9,419,830 to 9,598,454","18.2","18.1","18.4","18.1 to 18.4","20,878,285","4,849,988","4,792,377","4,907,599","4,792,377 to 4,907,599","23.2","23.0","23.5","23.0 to 23.5","$50,221","$50,147","$50,295","$50,147 to $50,295"
"2008","00","00000","United States","296,184,480","39,108,422","38,858,742","39,358,102","38,858,742 to 39,358,102","13.2","13.1","13.3","13.1 to 13.3","72,825,003","13,240,870","13,115,296","13,366,444","13,115,296 to 13,366,444","18.2","18.0","18.4","18.0 to 18.4","51,864,080","8,549,526","8,469,455","8,629,597","8,469,455 to 8,629,597","16.5","16.3","16.6","16.3 to 16.6","20,602,241","4,369,698","4,311,741","4,427,655","4,311,741 to 4,427,655","21.2","20.9","21.5","20.9 to 21.5","$52,029","$51,956","$52,102","$51,956 to $52,102"
"2007","00","00000","United States","293,744,043","38,052,247","37,829,283","38,275,211","37,829,283 to 38,275,211","13.0","12.9","13.0","12.9 to 13.0","72,665,911","13,097,100","12,981,173","13,213,027","12,981,173 to 13,213,027","18.0","17.9","18.2","17.9 to 18.2","51,904,411","8,499,844","8,419,720","8,579,968","8,419,720 to 8,579,968","16.4","16.2","16.5","16.2 to 16.5","20,348,501","4,229,120","4,178,842","4,279,398","4,178,842 to 4,279,398","20.8","20.5","21.0","20.5 to 21.0","$50,740","$50,665","$50,815","$50,665 to $50,815"
"2006","00","00000","United States","291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491","13.3","13.2","13.4","13.2 to 13.4","72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188","18.3","18.2","18.5","18.2 to 18.5","51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233","16.7","16.6","16.9","16.6 to 16.9","20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225","21.0","20.8","21.2","20.8 to 21.2","$48,451","$48,369","$48,533","$48,369 to $48,533"
"2005","00","00000","United States","287,270,432","38,231,474","37,934,924","38,528,024","37,934,924 to 38,528,024","13.3","13.2","13.4","13.2 to 13.4","72,023,983","13,360,273","13,217,771","13,502,775","13,217,771 to 13,502,775","18.5","18.4","18.7","18.4 to 18.7","51,658,744","8,765,541","8,662,789","8,868,293","8,662,789 to 8,868,293","17.0","16.8","17.2","16.8 to 17.2","19,959,312","4,242,948","4,187,205","4,298,691","4,187,205 to 4,298,691","21.3","21.0","21.5","21.0 to 21.5","$46,242","$46,138","$46,346","$46,138 to $46,346"
"2004","00","00000","United States","290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946","12.7","12.5","13.0","12.5 to 13.0","73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898","17.8","17.3","18.3","17.3 to 18.3","52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473","16.2","15.6","16.7","15.6 to 16.7","20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520","20.5","19.5","21.5","19.5 to 21.5","$44,334","$44,012","$44,656","$44,012 to $44,656"
"2003","00","00000","United States","287,699,184","35,861,170","35,190,401","36,531,939","35,190,401 to 36,531,939","12.5","12.2","12.7","12.2 to 12.7","72,999,159","12,865,806","12,519,657","13,211,955","12,519,657 to 13,211,955","17.6","17.2","18.1","17.2 to 18.1","52,278,842","8,399,573","8,111,130","8,688,016","8,111,130 to 8,688,016","16.1","15.5","16.6","15.5 to 16.6","19,763,309","4,021,366","3,817,517","4,225,215","3,817,517 to 4,225,215","20.3","19.3","21.4","19.3 to 21.4","$43,318","$43,009","$43,627","$43,009 to $43,627"
"2002","00","00000","United States","285,317,346","34,569,951","33,912,173","35,227,729","33,912,173 to 35,227,729","12.1","11.9","12.3","11.9 to 12.3","72,695,775","12,132,645","11,795,343","12,469,947","11,795,343 to 12,469,947","16.7","16.2","17.2","16.2 to 17.2","52,168,584","8,004,514","7,722,500","8,286,528","7,722,500 to 8,286,528","15.3","14.8","15.9","14.8 to 15.9","19,594,188","3,727,193","3,530,466","3,923,920","3,530,466 to 3,923,920","19.0","18.0","20.0","18.0 to 20.0","$42,409","$42,180","$42,638","$42,180 to $42,638"
"2001","00","00000","United States","281,474,939","32,906,511","32,262,565","33,550,457","32,262,565 to 33,550,457","11.7","11.5","11.9","11.5 to 11.9","72,020,548","11,732,684","11,403,410","12,061,958","11,403,410 to 12,061,958","16.3","15.8","16.7","15.8 to 16.7","51,820,491","7,662,294","7,387,461","7,937,127","7,387,461 to 7,937,127","14.8","14.3","15.3","14.3 to 15.3","19,257,993","3,575,879","3,383,307","3,768,451","3,383,307 to 3,768,451","18.6","17.6","19.6","17.6 to 19.6","$42,228","$42,016","$42,440","$42,016 to $42,440"
"2000","00","00000","United States","278,944,452","31,581,086","30,695,361","32,466,811","30,695,361 to 32,466,811","11.3","11.0","11.6","11.0 to 11.6","71,741,141","11,587,118","11,127,838","12,046,398","11,127,838 to 12,046,398","16.2","15.5","16.8","15.5 to 16.8","51,548,879","7,536,575","7,154,100","7,919,050","7,154,100 to 7,919,050","14.6","13.9","15.4","13.9 to 15.4","19,181,906","3,583,098","3,312,911","3,853,285","3,312,911 to 3,853,285","18.7","17.3","20.1","17.3 to 20.1","$41,990","$41,773","$42,207","$41,773 to $42,207"
"2012","01","01000","Alabama","4,706,967","896,515","880,205","912,825","880,205 to 912,825","19.0","18.7","19.3","18.7 to 19.3","1,111,278","306,451","298,963","313,939","298,963 to 313,939","27.6","26.9","28.3","26.9 to 28.3","808,562","208,811","202,516","215,106","202,516 to 215,106","25.8","25.0","26.6","25.0 to 26.6","299,413","94,623","90,649","98,597","90,649 to 98,597","31.6","30.3","32.9","30.3 to 32.9","$41,610","$41,143","$42,077","$41,143 to $42,077"
"2011","01","01000","Alabama","4,687,327","896,117","879,174","913,060","879,174 to 913,060","19.1","18.7","19.5","18.7 to 19.5","1,114,604","307,310","298,317","316,303","298,317 to 316,303","27.6","26.8","28.4","26.8 to 28.4","812,029","209,724","201,714","217,734","201,714 to 217,734","25.8","24.8","26.8","24.8 to 26.8","298,962","94,184","89,925","98,443","89,925 to 98,443","31.5","30.1","32.9","30.1 to 32.9","$41,427","$40,894","$41,960","$40,894 to $41,960"
"2010","01","01000","Alabama","4,667,040","883,078","867,106","899,050","867,106 to 899,050","18.9","18.6","19.2","18.6 to 19.2","1,115,210","305,292","296,223","314,361","296,223 to 314,361","27.4","26.6","28.2","26.6 to 28.2","811,713","207,778","199,900","215,656","199,900 to 215,656","25.6","24.6","26.6","24.6 to 26.6","299,655","93,895","89,540","98,250","89,540 to 98,250","31.3","29.8","32.8","29.8 to 32.8","$40,538","$40,081","$40,995","$40,081 to $40,995"
"2009","01","01000","Alabama","4,588,886","805,223","789,114","821,333","789,114 to 821,333","17.5","17.2","17.9","17.2 to 17.9","1,115,169","274,243","265,833","282,654","265,833 to 282,654","24.6","23.8","25.3","23.8 to 25.3","800,884","181,942","175,085","188,799","175,085 to 188,799","22.7","21.9","23.6","21.9 to 23.6","311,058","89,398","84,576","94,221","84,576 to 94,221","28.7","27.2","30.3","27.2 to 30.3","$40,547","$40,037","$41,057","$40,037 to $41,057"
"2008","01","01000","Alabama","4,541,753","721,875","706,983","736,766","706,983 to 736,766","15.9","15.6","16.2","15.6 to 16.2","1,105,914","244,661","236,008","253,314","236,008 to 253,314","22.1","21.3","22.9","21.3 to 22.9","794,750","157,565","149,941","165,189","149,941 to 165,189","19.8","18.9","20.8","18.9 to 20.8","305,031","82,291","78,070","86,511","78,070 to 86,511","27.0","25.6","28.4","25.6 to 28.4","$42,586","$41,924","$43,248","$41,924 to $43,248"
"2007","01","01000","Alabama","4,506,569","750,197","734,699","765,695","734,699 to 765,695","16.6","16.3","17.0","16.3 to 17.0","1,105,467","261,151","252,546","269,756","252,546 to 269,756","23.6","22.8","24.4","22.8 to 24.4","797,945","174,665","166,811","182,519","166,811 to 182,519","21.9","20.9","22.9","20.9 to 22.9","302,511","81,858","78,293","85,424","78,293 to 85,424","27.1","25.9","28.2","25.9 to 28.2","$40,596","$40,178","$41,014","$40,178 to $41,014"
"2006","01","01000","Alabama","4,482,161","743,556","730,298","756,815","730,298 to 756,815","16.6","16.3","16.9","16.3 to 16.9","1,097,080","253,314","246,023","260,606","246,023 to 260,606","23.1","22.4","23.8","22.4 to 23.8","796,679","171,004","164,556","177,452","164,556 to 177,452","21.5","20.7","22.3","20.7 to 22.3","294,334","77,388","74,009","80,767","74,009 to 80,767","26.3","25.1","27.4","25.1 to 27.4","$38,811","$38,320","$39,302","$38,320 to $39,302"
"2005","01","01000","Alabama","4,429,785","749,592","734,673","764,511","734,673 to 764,511","16.9","16.6","17.3","16.6 to 17.3","1,072,696","260,919","252,894","268,944","252,894 to 268,944","24.3","23.6","25.1","23.6 to 25.1","772,561","172,197","165,523","178,871","165,523 to 178,871","22.3","21.4","23.2","21.4 to 23.2","293,225","83,890","79,692","88,088","79,692 to 88,088","28.6","27.2","30.0","27.2 to 30.0","$36,936","$36,431","$37,441","$36,431 to $37,441"
"2004","01","01000","Alabama","4,463,171","717,483","675,992","758,974","675,992 to 758,974","16.1","15.1","17.0","15.1 to 17.0","1,082,849","245,017","226,152","263,881","226,152 to 263,881","22.6","20.9","24.4","20.9 to 24.4","775,423","160,787","143,834","177,740","143,834 to 177,740","20.7","18.5","22.9","18.5 to 22.9","295,125","77,330","68,732","85,928","68,732 to 85,928","26.2","23.3","29.1","23.3 to 29.1","$37,062","$35,614","$38,510","$35,614 to $38,510"
"2003","01","01000","Alabama","4,436,894","677,455","644,647","710,263","644,647 to 710,263","15.3","14.5","16.0","14.5 to 16.0","1,091,889","243,658","227,912","259,403","227,912 to 259,403","22.3","20.9","23.8","20.9 to 23.8","788,134","165,578","153,639","177,517","153,639 to 177,517","21.0","19.5","22.5","19.5 to 22.5","293,161","72,477","62,361","82,594","62,361 to 82,594","24.7","21.3","28.2","21.3 to 28.2","$36,131","$34,659","$37,602","$34,659 to $37,602"
"2002","01","01000","Alabama","4,414,359","679,856","646,828","712,885","646,828 to 712,885","15.4","14.7","16.1","14.7 to 16.1","1,104,233","238,077","221,362","254,791","221,362 to 254,791","21.6","20.0","23.1","20.0 to 23.1","798,787","156,495","142,450","170,540","142,450 to 170,540","19.6","17.8","21.3","17.8 to 21.3","297,647","76,033","66,986","85,079","66,986 to 85,079","25.5","22.5","28.6","22.5 to 28.6","$35,943","$34,186","$37,700","$34,186 to $37,700"
"2001","01","01000","Alabama","4,373,427","685,071","655,302","714,839","655,302 to 714,839","15.7","15.0","16.3","15.0 to 16.3","1,096,934","242,907","223,243","262,570","223,243 to 262,570","22.1","20.4","23.9","20.4 to 23.9","797,182","160,001","142,584","177,418","142,584 to 177,418","20.1","17.9","22.3","17.9 to 22.3","289,881","75,623","68,058","83,188","68,058 to 83,188","26.1","23.5","28.7","23.5 to 28.7","$34,761","$33,377","$36,145","$33,377 to $36,145"
"2000","01","01000","Alabama","4,371,402","637,119","606,255","667,982","606,255 to 667,982","14.6","13.9","15.3","13.9 to 15.3","1,104,080","226,222","209,959","242,486","209,959 to 242,486","20.5","19.0","22.0","19.0 to 22.0","800,291","147,165","133,140","161,190","133,140 to 161,190","18.4","16.6","20.1","16.6 to 20.1","296,196","72,407","64,066","80,747","64,066 to 80,747","24.4","21.6","27.3","21.6 to 27.3","$34,923","$33,241","$36,606","$33,241 to $36,606"
"2012","02","02000","Alaska","715,616","77,494","74,043","80,945","74,043 to 80,945","10.8","10.3","11.3","10.3 to 11.3","184,137","28,125","26,359","29,891","26,359 to 29,891","15.3","14.3","16.3","14.3 to 16.3","129,377","17,409","15,915","18,903","15,915 to 18,903","13.5","12.3","14.7","12.3 to 14.7","53,810","9,792","8,887","10,697","8,887 to 10,697","18.2","16.5","19.9","16.5 to 19.9","$66,503","$65,013","$67,993","$65,013 to $67,993"
"2011","02","02000","Alaska","706,859","76,021","72,599","79,443","72,599 to 79,443","10.8","10.3","11.3","10.3 to 11.3","185,264","27,192","25,130","29,254","25,130 to 29,254","14.7","13.6","15.8","13.6 to 15.8","130,935","17,857","16,000","19,714","16,000 to 19,714","13.6","12.2","15.0","12.2 to 15.0","53,606","8,473","7,472","9,474","7,472 to 9,474","15.8","13.9","17.7","13.9 to 17.7","$65,699","$64,147","$67,251","$64,147 to $67,251"
"2010","02","02000","Alaska","696,834","76,850","72,916","80,784","72,916 to 80,784","11.0","10.4","11.6","10.4 to 11.6","183,629","27,209","25,096","29,322","25,096 to 29,322","14.8","13.6","16.0","13.6 to 16.0","129,536","15,714","13,861","17,567","13,861 to 17,567","12.1","10.7","13.5","10.7 to 13.5","52,945","10,481","9,515","11,447","9,515 to 11,447","19.8","18.0","21.6","18.0 to 21.6","$63,456","$62,061","$64,851","$62,061 to $64,851"
"2009","02","02000","Alaska","682,420","61,949","58,489","65,410","58,489 to 65,410","9.1","8.6","9.6","8.6 to 9.6","180,201","22,221","20,228","24,213","20,228 to 24,213","12.3","11.2","13.4","11.2 to 13.4","125,670","13,145","11,501","14,789","11,501 to 14,789","10.5","9.2","11.8","9.2 to 11.8","53,015","8,017","6,908","9,125","6,908 to 9,125","15.1","13.0","17.2","13.0 to 17.2","$66,712","$65,176","$68,247","$65,176 to $68,247"
"2008","02","02000","Alaska","669,799","61,871","58,506","65,236","58,506 to 65,236","9.2","8.7","9.7","8.7 to 9.7","176,013","21,872","20,117","23,628","20,117 to 23,628","12.4","11.4","13.4","11.4 to 13.4","123,653","12,927","11,387","14,467","11,387 to 14,467","10.5","9.2","11.7","9.2 to 11.7","50,635","7,582","6,768","8,396","6,768 to 8,396","15.0","13.4","16.6","13.4 to 16.6","$67,332","$65,719","$68,945","$65,719 to $68,945"
"2007","02","02000","Alaska","666,598","65,266","62,165","68,367","62,165 to 68,367","9.8","9.3","10.3","9.3 to 10.3","178,786","23,356","21,652","25,060","21,652 to 25,060","13.1","12.1","14.0","12.1 to 14.0","127,442","13,787","12,273","15,301","12,273 to 15,301","10.8","9.6","12.0","9.6 to 12.0","49,754","8,104","7,332","8,877","7,332 to 8,877","16.3","14.7","17.8","14.7 to 17.8","$62,854","$61,569","$64,138","$61,569 to $64,138"
"2006","02","02000","Alaska","651,952","71,120","68,060","74,180","68,060 to 74,180","10.9","10.4","11.4","10.4 to 11.4","177,342","25,804","24,148","27,461","24,148 to 27,461","14.6","13.6","15.5","13.6 to 15.5","127,591","16,364","14,831","17,897","14,831 to 17,897","12.8","11.6","14.0","11.6 to 14.0","48,764","8,346","7,629","9,063","7,629 to 9,063","17.1","15.6","18.6","15.6 to 18.6","$58,572","$57,446","$59,699","$57,446 to $59,699"
"2005","02","02000","Alaska","637,576","69,093","65,951","72,236","65,951 to 72,236","10.8","10.3","11.3","10.3 to 11.3","183,124","25,976","24,182","27,769","24,182 to 27,769","14.2","13.2","15.2","13.2 to 15.2","131,910","16,841","15,328","18,354","15,328 to 18,354","12.8","11.6","13.9","11.6 to 13.9","49,196","7,757","6,911","8,602","6,911 to 8,602","15.8","14.0","17.5","14.0 to 17.5","$55,477","$54,210","$56,743","$54,210 to $56,743"
"2004","02","02000","Alaska","649,816","64,660","58,937","70,382","58,937 to 70,382","10.0","9.1","10.8","9.1 to 10.8","187,685","24,243","21,287","27,199","21,287 to 27,199","12.9","11.3","14.5","11.3 to 14.5","134,824","14,841","12,221","17,461","12,221 to 17,461","11.0","9.1","13.0","9.1 to 13.0","50,252","7,493","6,109","8,877","6,109 to 8,877","14.9","12.2","17.7","12.2 to 17.7","$52,141","$50,454","$53,827","$50,454 to $53,827"
"2003","02","02000","Alaska","642,387","63,126","58,920","67,332","58,920 to 67,332","9.8","9.2","10.5","9.2 to 10.5","186,983","23,342","21,006","25,679","21,006 to 25,679","12.5","11.2","13.7","11.2 to 13.7","134,531","14,330","12,571","16,089","12,571 to 16,089","10.7","9.3","12.0","9.3 to 12.0","49,058","7,651","6,153","9,148","6,153 to 9,148","15.6","12.5","18.6","12.5 to 18.6","$52,391","$50,764","$54,018","$50,764 to $54,018"
"2002","02","02000","Alaska","636,327","58,932","54,562","63,302","54,562 to 63,302","9.3","8.6","9.9","8.6 to 9.9","186,944","21,902","19,441","24,362","19,441 to 24,362","11.7","10.4","13.0","10.4 to 13.0","136,112","14,342","12,253","16,431","12,253 to 16,431","10.5","9.0","12.1","9.0 to 12.1","47,976","6,380","5,076","7,684","5,076 to 7,684","13.3","10.6","16.0","10.6 to 16.0","$51,844","$49,860","$53,827","$49,860 to $53,827"
"2001","02","02000","Alaska","628,085","54,357","50,228","58,486","50,228 to 58,486","8.7","8.0","9.3","8.0 to 9.3","187,524","21,568","18,517","24,620","18,517 to 24,620","11.5","9.9","13.1","9.9 to 13.1","135,101","13,565","10,870","16,260","10,870 to 16,260","10.0","8.0","12.0","8.0 to 12.0","47,821","6,449","5,360","7,539","5,360 to 7,539","13.5","11.2","15.8","11.2 to 15.8","$52,332","$50,506","$54,158","$50,506 to $54,158"
"2000","02","02000","Alaska","616,957","52,442","48,413","56,471","48,413 to 56,471","8.5","7.8","9.2","7.8 to 9.2","184,393","21,145","18,573","23,717","18,573 to 23,717","11.5","10.1","12.9","10.1 to 12.9","135,020","13,500","11,223","15,777","11,223 to 15,777","10.0","8.3","11.7","8.3 to 11.7","46,507","6,269","5,017","7,520","5,017 to 7,520","13.5","10.8","16.2","10.8 to 16.2","$51,433","$49,341","$53,525","$49,341 to $53,525"
"2012","04","04000","Arizona","6,401,276","1,195,931","1,177,400","1,214,462","1,177,400 to 1,214,462","18.7","18.4","19.0","18.4 to 19.0","1,592,569","430,378","418,981","441,775","418,981 to 441,775","27.0","26.3","27.7","26.3 to 27.7","1,155,367","291,886","282,134","301,638","282,134 to 301,638","25.3","24.5","26.1","24.5 to 26.1","428,510","130,571","124,662","136,480","124,662 to 136,480","30.5","29.1","31.9","29.1 to 31.9","$47,796","$47,213","$48,379","$47,213 to $48,379"
"2011","04","04000","Arizona","6,336,450","1,201,376","1,176,529","1,226,223","1,176,529 to 1,226,223","19.0","18.6","19.4","18.6 to 19.4","1,597,593","434,571","420,527","448,615","420,527 to 448,615","27.2","26.3","28.1","26.3 to 28.1","1,147,251","294,963","282,593","307,333","282,593 to 307,333","25.7","24.6","26.8","24.6 to 26.8","442,654","132,554","125,574","139,534","125,574 to 139,534","29.9","28.3","31.5","28.3 to 31.5","$46,710","$46,173","$47,247","$46,173 to $47,247"
"2010","04","04000","Arizona","6,272,700","1,105,075","1,082,284","1,127,866","1,082,284 to 1,127,866","17.6","17.2","18.0","17.2 to 18.0","1,605,114","401,664","387,835","415,493","387,835 to 415,493","25.0","24.1","25.9","24.1 to 25.9","1,147,352","263,822","251,690","275,954","251,690 to 275,954","23.0","21.9","24.1","21.9 to 24.1","448,669","129,973","123,200","136,746","123,200 to 136,746","29.0","27.5","30.5","27.5 to 30.5","$46,787","$46,278","$47,296","$46,278 to $47,296"
"2009","04","04000","Arizona","6,475,512","1,065,728","1,045,152","1,086,305","1,045,152 to 1,086,305","16.5","16.1","16.8","16.1 to 16.8","1,702,644","396,006","383,185","408,827","383,185 to 408,827","23.3","22.5","24.0","22.5 to 24.0","1,185,875","254,203","243,872","264,534","243,872 to 264,534","21.4","20.6","22.3","20.6 to 22.3","509,060","134,617","127,395","141,838","127,395 to 141,838","26.4","25.0","27.9","25.0 to 27.9","$48,711","$48,242","$49,180","$48,242 to $49,180"
"2008","04","04000","Arizona","6,379,305","935,247","915,163","955,331","915,163 to 955,331","14.7","14.3","15.0","14.3 to 15.0","1,678,065","347,462","335,697","359,227","335,697 to 359,227","20.7","20.0","21.4","20.0 to 21.4","1,162,739","223,217","213,298","233,136","213,298 to 233,136","19.2","18.3","20.1","18.3 to 20.1","505,169","116,264","110,425","122,103","110,425 to 122,103","23.0","21.9","24.2","21.9 to 24.2","$51,009","$50,506","$51,512","$50,506 to $51,512"
"2007","04","04000","Arizona","6,225,517","876,120","855,871","896,369","855,871 to 896,369","14.1","13.7","14.4","13.7 to 14.4","1,639,127","327,941","316,503","339,380","316,503 to 339,380","20.0","19.3","20.7","19.3 to 20.7","1,140,422","209,683","199,940","219,426","199,940 to 219,426","18.4","17.5","19.2","17.5 to 19.2","489,088","109,652","103,335","115,970","103,335 to 115,970","22.4","21.1","23.7","21.1 to 23.7","$49,923","$49,433","$50,414","$49,433 to $50,414"
"2006","04","04000","Arizona","6,052,140","860,355","842,853","877,857","842,853 to 877,857","14.2","13.9","14.5","13.9 to 14.5","1,597,211","316,241","305,732","326,749","305,732 to 326,749","19.8","19.1","20.5","19.1 to 20.5","1,117,931","203,223","194,057","212,389","194,057 to 212,389","18.2","17.4","19.0","17.4 to 19.0","469,806","104,911","99,716","110,107","99,716 to 110,107","22.3","21.2","23.4","21.2 to 23.4","$47,315","$46,890","$47,740","$46,890 to $47,740"
"2005","04","04000","Arizona","5,802,687","836,742","818,414","855,071","818,414 to 855,071","14.4","14.1","14.7","14.1 to 14.7","1,546,935","323,003","311,747","334,258","311,747 to 334,258","20.9","20.2","21.6","20.2 to 21.6","1,084,364","205,175","196,027","214,323","196,027 to 214,323","18.9","18.1","19.8","18.1 to 19.8","452,724","110,038","103,639","116,437","103,639 to 116,437","24.3","22.9","25.7","22.9 to 25.7","$44,402","$43,799","$45,004","$43,799 to $45,004"
"2004","04","04000","Arizona","5,842,118","853,587","795,925","911,249","795,925 to 911,249","14.6","13.6","15.6","13.6 to 15.6","1,573,902","338,384","306,966","369,802","306,966 to 369,802","21.5","19.5","23.5","19.5 to 23.5","1,088,316","214,962","187,998","241,926","187,998 to 241,926","19.8","17.3","22.2","17.3 to 22.2","456,722","112,042","96,304","127,781","96,304 to 127,781","24.5","21.1","28.0","21.1 to 28.0","$43,696","$42,282","$45,110","$42,282 to $45,110"
"2003","04","04000","Arizona","5,643,394","783,005","736,508","829,502","736,508 to 829,502","13.9","13.1","14.7","13.1 to 14.7","1,539,917","316,973","290,274","343,672","290,274 to 343,672","20.6","18.8","22.3","18.8 to 22.3","1,074,882","213,295","192,439","234,151","192,439 to 234,151","19.8","17.9","21.8","17.9 to 21.8","440,100","92,147","75,773","108,522","75,773 to 108,522","20.9","17.2","24.7","17.2 to 24.7","$41,963","$40,557","$43,368","$40,557 to $43,368"
"2002","04","04000","Arizona","5,485,046","746,145","700,483","791,807","700,483 to 791,807","13.6","12.8","14.4","12.8 to 14.4","1,506,179","302,013","275,180","328,847","275,180 to 328,847","20.1","18.3","21.8","18.3 to 21.8","1,064,663","197,535","175,290","219,780","175,290 to 219,780","18.6","16.5","20.6","16.5 to 20.6","422,799","94,589","79,767","109,411","79,767 to 109,411","22.4","18.9","25.9","18.9 to 25.9","$40,724","$39,014","$42,434","$39,014 to $42,434"
"2001","04","04000","Arizona","5,342,423","703,143","661,009","745,277","661,009 to 745,277","13.2","12.4","14.0","12.4 to 14.0","1,472,911","280,198","250,418","309,978","250,418 to 309,978","19.0","17.0","21.0","17.0 to 21.0","1,023,251","182,501","157,242","207,760","157,242 to 207,760","17.8","15.4","20.3","15.4 to 20.3","419,094","85,645","72,503","98,787","72,503 to 98,787","20.4","17.3","23.6","17.3 to 23.6","$41,403","$39,943","$42,864","$39,943 to $42,864"
"2000","04","04000","Arizona","5,194,502","646,762","607,154","686,370","607,154 to 686,370","12.5","11.7","13.2","11.7 to 13.2","1,413,775","263,677","240,454","286,900","240,454 to 286,900","18.7","17.0","20.3","17.0 to 20.3","981,986","179,647","159,905","199,389","159,905 to 199,389","18.3","16.3","20.3","16.3 to 20.3","400,347","73,834","61,484","86,184","61,484 to 86,184","18.4","15.4","21.5","15.4 to 21.5","$40,437","$38,655","$42,219","$38,655 to $42,219"
"2012","05","05000","Arkansas","2,865,097","560,928","549,034","572,822","549,034 to 572,822","19.6","19.2","20.0","19.2 to 20.0","698,828","196,464","190,326","202,602","190,326 to 202,602","28.1","27.2","29.0","27.2 to 29.0","505,053","133,507","128,213","138,801","128,213 to 138,801","26.4","25.4","27.4","25.4 to 27.4","189,313","59,482","56,503","62,461","56,503 to 62,461","31.4","29.8","33.0","29.8 to 33.0","$40,151","$39,666","$40,636","$39,666 to $40,636"
