academicyear,state,adj_avg_tuition,adj_aid,adj_other_src,tuition_reliance_a2,pc_on_loan
2000,AK,6411.606910809212,95461702.8942705,21268739.710366204,0.12199184261714001,0.4
2000,AL,5944.065903721203,54452018.89412284,103606694.3795038,0.23464574125101464,0.36630910556493435
2000,AR,4860.455050206731,13796621.764966032,2776425.0629725326,0.170391167509511,0.28353367479225555
2000,AZ,6277.191671588893,207435049.0468989,26979781.115121074,0.187304474028202,0.2844951646506421
2000,CA,5716.255654863678,98508731.34214005,102636551.91522574,0.17049885870054324,0.33533052942060054
2000,CO,7185.166612522147,70166431.43428527,13816829.819238033,0.2829471696080393,0.31787745690128466
2000,CT,7275.896898995862,32270314.189080026,98173875.12062903,0.27438077947077877,0.44558854292380723
2000,DC,4193.75546367395,13584954.391346717,2398443.6976373293,0.154804012669097,0.31
2000,DE,11512.665239220314,70565591.8695806,42165791.712935604,0.37943609913297205,0.61
2000,FL,6929.044483971432,58618359.351460546,18023284.61476131,0.1447218372425367,0.31108764415156503
2000,GA,6168.171311492698,28106316.291146304,5989720.703797674,0.19329076094470285,0.3772628786877916
2000,IA,7870.0122563496725,123706765.12362665,270058163.61246294,0.15692643294138,0.5735161859681496
2000,ID,4113.106320141758,29582525.22315415,9976472.450590665,0.191406155587463,0.4092929346109298
2000,IL,6344.3152816745405,81253173.189571,79193255.1120053,0.21524933051308875,0.47225772303698094
2000,IN,7862.955456290605,26948679.060950544,18495044.668907683,0.276105353155651,0.42313912421881084
2000,KS,6118.245651210866,21378114.734672174,2849487.8104031296,0.21417188744251373,0.5700335319384786
2000,KY,6132.215235001263,36641482.070745066,104506806.00760691,0.22220852745726313,0.3063457060328044
2000,LA,4447.032178719094,20619281.95061176,8651902.438524174,0.2854264381404737,0.38161754877936915
2000,MA,6183.2930259049845,35135226.052172795,36237839.63610665,0.26502244877855097,0.5603613467131612
2000,MD,8761.857368576488,48667436.22368575,7648881.937876548,0.2323676929628272,0.4386466165413534
2000,ME,9389.576535735378,35519172.52579739,14215451.249424094,0.2560100865809085,0.6605958640028041
2000,MI,9580.59552569403,91896702.1924985,149367799.2228588,0.3112981848480327,0.41160688045639204
2000,MN,6979.389100843042,42145496.355965726,4813669.260086987,0.24718994560487184,0.44563785963619024
2000,MO,5678.222430596572,24421539.0551388,58580120.57835202,0.22005882591791578,0.45383026254922093
2000,MS,5862.117412876548,50521315.308145285,7689439.092811574,0.1666625657359284,0.39936219728006583
2000,MT,6244.663183697576,23000583.826408736,3326424.1962847,0.2377799280866122,0.5005888876566486
2000,NC,6570.024871318875,46418219.04448567,9940455.791230693,0.13292511371866605,0.3989892983578933
2000,ND,6476.1262256349655,45611529.05865326,2703746.9111451553,0.187736322194896,0.6436220043572984
2000,NE,4472.163027909036,26229883.200044293,2375947.2911252207,0.2166462430764285,0.47504649683458033
2000,NH,13300.387920850557,78180736.70253985,11697045.31116361,0.33920796954599003,0.6799999999999999
2000,NJ,7037.813906526872,9629373.826561574,3492318.610831363,0.30063066785887127,0.5429634877572532
2000,NM,5995.927783520376,75110704.06404309,154372603.0224896,0.10696968108218166,0.22288352272727271
